case_id,decision_class,thermal_drainage_ratio,thermal_pore_pressure_ratio,head_restraint_ratio,service_margin_index,max_TM_serviceability_ratio,max_THM_serviceability_ratio,tm_thm_decision_gap
516,Unsafe-Unsafe,0.9735266543480934,1.6387596585476227,0.48499975719643434,-0.809267376759232,1.2852812648008998,1.809267376759232,0.5239861119583322
517,False Safe,2.7368772097816234,1.5978439042254162,0.3099670465979992,-0.2978674307771798,0.9915936290391526,1.2978674307771798,0.3062738017380272
518,Unsafe-Unsafe,2.8014287284231214,1.5971699001692705,0.47654616039708586,-0.6219313042569372,1.504847877893236,1.6219313042569372,0.11708342636370128
519,False Safe,1.7970152010866365,1.611964820765426,0.56639076954552,-0.3127357649031952,0.8912757648141469,1.3127357649031952,0.42146000008904827
520,Safe-Safe,2.799141618089512,1.597193324282223,0.5653774387877956,0.2044587903281374,0.6357136039092512,0.7955412096718626,0.15982760576261135
521,Unsafe-Unsafe,1.5234099470898528,1.6184808013017777,0.504848415369903,-0.5686679063164324,1.0519227755612621,1.5686679063164324,0.5167451307551703
522,Safe-Safe,2.616824083951581,1.5991725607208929,0.4921746062680131,0.19302341687208469,0.48570761921307776,0.8069765831279153,0.32126896391483756
523,False Safe,1.9841863275845604,1.608306995840611,0.3473687236314252,-0.1507311402720426,0.8392444946404873,1.1507311402720426,0.31148664563155526
524,Safe-Safe,4.454433874722641,1.5860591996741378,0.39461277356750984,0.34776889854487436,0.5432916159448916,0.6522311014551256,0.10893948551023402
525,Safe-Safe,2.1977782601333917,1.604744459534312,0.5536290262497979,0.15879401791711512,0.6747720287980403,0.8412059820828849,0.16643395328484456
526,Safe-Safe,7.720967689015466,1.5776481334285644,0.31096602063917844,0.40419063574803504,0.4986845254331444,0.595809364251965,0.09712483881882056
527,Safe-Safe,5.186017499815626,1.5833220948603606,0.32900771954591335,0.21295846936562168,0.6191761816223488,0.7870415306343783,0.16786534901202954
528,Safe-Safe,6.624783906053989,1.5795992906767107,0.3893360808344982,0.1567427402551994,0.6180511217547666,0.8432572597448006,0.22520613799003397
529,False Safe,0.9520755684436988,1.6398116843394603,0.48061243770366274,-0.3061532587772269,0.8298037727712353,1.3061532587772269,0.4763494860059916
530,False Safe,3.612846419653755,1.5905256198758915,0.28788969841091416,-0.11059587242114644,0.7831239089457684,1.1105958724211464,0.327471963475378
531,Safe-Safe,5.000408868193633,1.5839465559735901,0.5372309106846395,0.026068867026442732,0.8876427222643168,0.9739311329735573,0.08628841070924043
532,Safe-Safe,4.029421805857487,1.5880622154527415,0.4768530640793507,0.21744125533709335,0.5700149803880318,0.7825587446629066,0.21254376427487487
533,Safe-Safe,5.359536230245671,1.582774622144089,0.4989164310276667,0.2066576147573791,0.6589899314845161,0.7933423852426209,0.13435245375810478
534,Safe-Safe,6.5874616135501896,1.5796765041706573,0.5002542566598484,0.10181848388503933,0.7331660428946678,0.8981815161149607,0.16501547322029286
535,False Safe,2.2815505841921286,1.6034958668788748,0.451935380025259,-0.4454405501628407,0.7432196682921344,1.4454405501628407,0.7022208818707063
536,Unsafe-Unsafe,1.3348507494137474,1.6240146225754493,0.38286959061463655,-0.5019981263316295,1.13383107134095,1.5019981263316295,0.3681670549906795
537,Safe-Safe,5.07131410621343,1.5837030153504246,0.48576187287287365,0.34820958025030746,0.5286982274784267,0.6517904197496925,0.12309219227126589
538,Safe-Safe,6.693107866868575,1.5794600455799404,0.25661578338977226,0.48654878232310395,0.45162836975076676,0.513451217676896,0.0618228479261293
539,Unsafe-Unsafe,1.5417344563701145,1.617992953157587,0.3685278424398386,-0.6578538179521807,1.2540789754898634,1.6578538179521807,0.4037748424623173
540,Unsafe-Unsafe,7.405772747886163,1.5781529969627361,0.5110591345666149,-1.0346238269364774,1.8617277251223125,2.0346238269364774,0.17289610181416482
541,Unsafe-Unsafe,6.113096889491692,1.580734976676584,0.5614925442557773,-0.26061574560600786,1.0429106647331652,1.2606157456060079,0.21770508087284268
542,Safe-Safe,8.06936254951135,1.577133856759285,0.48208495546016955,0.3636980309021819,0.6024945934108894,0.6363019690978181,0.03380737568692871
543,False Safe,1.1588059386338618,1.6305061234325569,0.5693820186879154,-0.03243574260730697,0.46601479626242776,1.032435742607307,0.5664209463448793
544,Safe-Safe,0.9638413481538761,1.6392321795302185,0.3711744271780768,0.15162750362457778,0.4486137910733422,0.8483724963754222,0.39975870530208
